Index	Section	Name	Brewery	Character	Strength	Complexity	Style	Description				
1	1	BOBA BEER	Dad & Dave's Brewing	character	6%	STEPPING UP	Sour - Berliner Weisse	A delightfully tart Grapefruit Beliner Weisse infused with Jasmine Green Tea. Bit notes of citrus and floral jasmine. Serve with Tapioca Pearls for full experience!				
2	1	HOMESTEAD BLACKBERRY & APPLE PASTRY SOUR	The Coastal Brewing Company	character	6%	EASY DRINKING	Specialty Beer	Perfect for an autumn or winter evening bringing crumble to a glass!				
3	1	SUIT UP	7th Day Brewery	character	6.5%	STEPPING UP	IPA - Black	A dark malt base gives off a roasted flavours. Chocolate and raisins mingle with piney resin and citric floral hops. Suit up and enjoy the ride!y.				
4	1	WHISKEY IN THE JAR	Six String Brewing Co.	character	12%	ADVENTUROUS	Wood Aged Beer	"A barrel aged, American-Style Imperial Stout. Conditioned on a single batch whiskey distilled from a stout inspired wash. This beer is a ""Boilermaker"" in a glass"				
5	1	MARSDEN NEOPOLITAN PORTER	The Marsden Brewhouse	character	5.5%	STEPPING UP	Stout - Tropical	"Marsden Neopolitan Porter - Just like the ice cream, Berry - Vanilla - Chocolate! It's a different take on our usual Chocolate Porter with the three distinct ingredients combining to create a triumvirate of flavour! Try it with a piece of Chocolate Mudcake or maybe just a piece of chocolate!"				
6	1	GO! GO! ICHIGO!	The Mill Brewery	character	5.5%	STEPPING UP	Sour - Gose	Umami! Salty! Strawberry! Sour!				
7	1	MARKET 2023	Hop Nation Brewing Co	character	6%	STEPPING UP	IPA - New England	"Kaffir lime leaf, mango, coriander, Vietnamese mint and chilli have been integrated into this juicy IPA. A fun and exciting voyage that will take IPA fans through to the flavours of fusion."				
8	1	BARREL AGED RUM DOUBLE CHOC BROWN ALE	Bad Shepherd Brewing Co	character	7.5%	ADVENTUROUS	Specialty Beer	"A smooth, toasty and malty brown ale brewed with real hazelnuts, vanilla, cocoa, Jimmy Rum and a splash of Frangelico, this tempting brew was squirreled away by our brewers into Rum barrels. The result is a rich and decadent Double Choc Hazelnut Brown Ale with plenty of character."				
9	1	I AM WEISS	Yenda Brewing Co	character	5%	EASY DRINKING	Weizen/Weissbier/Hefeweizen	An Australian style wheat beer with the fruitiness of raspberries to pack a zingy punch for this sessional and very quaffable beer.				
10	1	"TIM, TAM & TOM"	B.O.B	character	5.9%	EASY DRINKING	Brown Ale - UK	"Classical British Ale with Tim Tams. Front palate will have loads of biscutiness, followed by a mid palette showing some hoppy character followed by a sweet lasting finish."				
